image_path,label
/kaggle/working/datasets1/biological/biological_145.jpg,biological
/kaggle/working/datasets1/white-glass/white-glass_653.jpg,white-glass
/kaggle/working/datasets1/green-glass/green-glass_606.jpg,green-glass
/kaggle/working/datasets1/clothes/clothes_3983.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_4726.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_1801.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_4373.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_310.jpg,clothes
/kaggle/working/datasets1/white-glass/white-glass_595.jpg,white-glass
/kaggle/working/datasets1/metal/metal_259.jpg,metal
/kaggle/working/datasets1/clothes/clothes_4093.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_4356.jpg,clothes
/kaggle/working/datasets1/plastic/plastic_40.jpg,plastic
/kaggle/working/datasets1/clothes/clothes_1190.jpg,clothes
/kaggle/working/datasets1/biological/biological_635.jpg,biological
/kaggle/working/datasets1/clothes/clothes_998.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_1028.jpg,clothes
/kaggle/working/datasets1/metal/metal_3.jpg,metal
/kaggle/working/datasets1/metal/metal_77.jpg,metal
/kaggle/working/datasets1/green-glass/green-glass_173.jpg,green-glass
/kaggle/working/datasets1/clothes/clothes_3468.jpg,clothes
/kaggle/working/datasets1/shoes/shoes_332.jpg,shoes
/kaggle/working/datasets1/paper/paper_425.jpg,paper
/kaggle/working/datasets1/clothes/clothes_3171.jpg,clothes
/kaggle/working/datasets1/shoes/shoes_459.jpg,shoes
/kaggle/working/datasets1/clothes/clothes_3160.jpg,clothes
/kaggle/working/datasets1/green-glass/green-glass_44.jpg,green-glass
/kaggle/working/datasets1/clothes/clothes_2673.jpg,clothes
/kaggle/working/datasets1/white-glass/white-glass_482.jpg,white-glass
/kaggle/working/datasets1/brown-glass/brown-glass_585.jpg,brown-glass
/kaggle/working/datasets1/plastic/plastic_509.jpg,plastic
/kaggle/working/datasets1/biological/biological_333.jpg,biological
/kaggle/working/datasets1/battery/battery_88.jpg,battery
/kaggle/working/datasets1/clothes/clothes_4392.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_904.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_4607.jpg,clothes
/kaggle/working/datasets1/shoes/shoes_1339.jpg,shoes
/kaggle/working/datasets1/shoes/shoes_124.jpg,shoes
/kaggle/working/datasets1/shoes/shoes_498.jpg,shoes
/kaggle/working/datasets1/clothes/clothes_4958.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_5042.jpg,clothes
/kaggle/working/datasets1/cardboard/cardboard_361.jpg,cardboard
/kaggle/working/datasets1/clothes/clothes_2526.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_1680.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_747.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_5070.jpg,clothes
/kaggle/working/datasets1/brown-glass/brown-glass_452.jpg,brown-glass
/kaggle/working/datasets1/shoes/shoes_1366.jpg,shoes
/kaggle/working/datasets1/clothes/clothes_5275.jpg,clothes
/kaggle/working/datasets1/trash/trash_114.jpg,trash
/kaggle/working/datasets1/clothes/clothes_4797.jpg,clothes
/kaggle/working/datasets1/shoes/shoes_1933.jpg,shoes
/kaggle/working/datasets1/clothes/clothes_3685.jpg,clothes
/kaggle/working/datasets1/plastic/plastic_819.jpg,plastic
/kaggle/working/datasets1/shoes/shoes_1045.jpg,shoes
/kaggle/working/datasets1/clothes/clothes_18.jpg,clothes
/kaggle/working/datasets1/cardboard/cardboard_141.jpg,cardboard
/kaggle/working/datasets1/brown-glass/brown-glass_21.jpg,brown-glass
/kaggle/working/datasets1/green-glass/green-glass_54.jpg,green-glass
/kaggle/working/datasets1/clothes/clothes_4479.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_3499.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_3030.jpg,clothes
/kaggle/working/datasets1/shoes/shoes_593.jpg,shoes
/kaggle/working/datasets1/paper/paper_323.jpg,paper
/kaggle/working/datasets1/clothes/clothes_1497.jpg,clothes
/kaggle/working/datasets1/plastic/plastic_128.jpg,plastic
/kaggle/working/datasets1/cardboard/cardboard_230.jpg,cardboard
/kaggle/working/datasets1/paper/paper_410.jpg,paper
/kaggle/working/datasets1/metal/metal_706.jpg,metal
/kaggle/working/datasets1/clothes/clothes_1907.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_754.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_3091.jpg,clothes
/kaggle/working/datasets1/brown-glass/brown-glass_245.jpg,brown-glass
/kaggle/working/datasets1/clothes/clothes_1261.jpg,clothes
/kaggle/working/datasets1/shoes/shoes_467.jpg,shoes
/kaggle/working/datasets1/clothes/clothes_5246.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_3579.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_2822.jpg,clothes
/kaggle/working/datasets1/paper/paper_841.jpg,paper
/kaggle/working/datasets1/white-glass/white-glass_579.jpg,white-glass
/kaggle/working/datasets1/paper/paper_806.jpg,paper
/kaggle/working/datasets1/metal/metal_294.jpg,metal
/kaggle/working/datasets1/green-glass/green-glass_442.jpg,green-glass
/kaggle/working/datasets1/clothes/clothes_5010.jpg,clothes
/kaggle/working/datasets1/clothes/clothes_782.jpg,clothes
/kaggle/working/datasets1/paper/paper_639.jpg,paper
/kaggle/working/datasets1/brown-glass/brown-glass_378.jpg,brown-glass
/kaggle/working/datasets1/brown-glass/brown-glass_319.jpg,brown-glass
